Sample,Family ID,Population,Population Description,Gender,Relationship,Unexpected Parent/Child ,Non Paternity,Siblings,Grandparents,Avuncular,Half Siblings,Unknown Second Order,Third Order,Other Comments
HG03968,IT046,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03969,IT046,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03971,IT048,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03973,IT050,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03974,IT049,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03976,IT050,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03977,IT047,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03978,IT047,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03985,ST144,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03986,ST106,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03989,ST145,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03990,ST142,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03991,ST143,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03995,ST021,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03998,ST147,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03999,ST007,STU,Sri Lankan Tamil in the UK,male,child,,,,,,,,,
HG04001,IT053,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04002,IT053,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04003,ST152,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04006,ST078,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04014,IT059,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04015,IT060,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04017,IT061,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04018,IT007,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04019,IT056,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04020,IT059,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04022,IT062,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04023,IT058,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04025,IT058,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04026,IT061,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04029,ST154,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04033,ST076,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04035,ST094,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04038,ST170,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04039,ST172,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04042,ST171,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04047,ST173,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04054,IT180,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04056,IT180,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04059,IT184,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04060,IT183,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04061,IT182,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04062,IT182,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04063,IT183,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04070,IT45,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04075,ST190,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04076,IT191,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04080,IT194,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04090,IT199,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04093,IT199,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04094,IT201,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04096,IT202,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04098,IT205,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04099,ST203,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04100,ST203,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04106,ST176,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04107,ST176,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04118,IT214,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04131,BD44,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04134,BD45,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04140,BD47,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04141,BD47,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04144,BD48,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04146,BD49,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04152,BD51,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04153,BD51,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04155,BD52,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04156,BD52,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04158,BD53,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04159,BD53,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04161,BD54,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04162,BD54,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04164,BD55,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04171,BD57,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04173,BD58,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04176,BD59,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04177,BD59,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04180,BD60,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04182,BD61,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04183,BD61,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04185,BD62,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04186,BD62,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04188,BD63,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04189,BD63,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04194,BD65,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG04195,BD65,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG04198,IT220,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04200,IT220,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04202,IT222,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04206,HG04206,ITU,Indian Telugu in the UK,male,unrel,,,,,,,,,
HG04209,IT217,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04210,ST186,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04211,IT223,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04212,IT223,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04214,IT226,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04216,IT227,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG04219,IT228,ITU,Indian Telugu in the UK,male,child,,,,,,,,,
HG04222,IT225,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04225,IT231,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04227,ST232,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG04229,ST232,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG04235,IT237,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04238,IT240,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG04239,HG04239,ITU,Indian Telugu in the UK,male,unrel,,,,,,,,,
HG04301,HG04301,GBR,British in England and Scotland,female,,,,,,,,,,
HG04302,HG04302,GBR,British in England and Scotland,male,,,,,,,,,,
HG04303,HG04303,GBR,British in England and Scotland,female,,,,,,,,,,
NA06984,1328,CEU,Utah residents with Northern and Western European ancestry,male,father,,,,,,,,,
NA06985,1341,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA06986,13291,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA06989,1328,CEU,Utah residents with Northern and Western European ancestry,female,mother,,,,,,,,,
NA06994,1340,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA07000,1340,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA07037,13291,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA07048,1341,CEU,Utah residents with Northern and Western European ancestry,male,father,,,,,,,,,
NA07051,13292,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA07056,1340,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,NA06993 (1st cous once removed),
NA07347,1345,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA07357,1345,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA10847,1334,CEU,Utah residents with Northern and Western European ancestry,female,mother,,,,,,,,,
NA10851,1344,CEU,Utah residents with Northern and Western European ancestry,male,father,,,,,,,,,
NA11829,1350,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA11830,1350,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA11831,1350,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA11832,1350,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA11840,1349,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA11843,1349,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA11881,1347,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA11892,1377,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA11893,1377,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA11894,1377,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA11918,1423,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA11919,1423,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA11920,1423,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA11930,1424,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA11931,1424,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA11932,1424a,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA11933,1424a,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA11992,1362,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA11994,1362,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA11995,1362,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12003,1420,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12004,1420,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12005,1420,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12006,1420,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12043,1346,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12044,1346,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12045,1346,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,NA07031 (half sib or avunclular),,
NA12046,1346,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12058,1344,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12144,1334,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12154,1408,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12155,1408,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,NA12264 (1st cous once removed),
NA12156,1408,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12234,1375,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12249,1416,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12272,1418,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12273,1418,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12275,1418,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12282,1421a,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12283,1421a,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12286,1421,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12287,1421,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12340,1330,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12341,1330,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12342,1330,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12347,13281,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12348,13281,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12383,1353,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12399,1354,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12400,1354,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12413,1355,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12414,1355,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12489,1353,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12546,1353,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12716,1358,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12717,1358,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12718,1358,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12748,1444,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12749,1444,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12750,1444,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12751,1444,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12760,1447,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12761,1447,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12762,1447,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12763,1447,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12775,1451,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12776,1451,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12777,1451,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12778,1451,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12812,1454,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12813,1454,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,NA07045,,NA06997 (niece/nephew),,,,
NA12814,1454,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12815,1454,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12827,1456,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12828,1456,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12829,1456,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12830,1456,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12842,1458,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12843,1458,CEU,Utah residents with Northern and Western European ancestry,female,mat grandmother,,,,,,,,,
NA12872,1459,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather,,,,,,,,,
NA12873,1459,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother,,,,,,,,,
NA12874,1459,CEU,Utah residents with Northern and Western European ancestry,male,mat grandfather,,,,,,,,,
NA12878,1463,CEU,Utah residents with Northern and Western European ancestry,female,mother; child,,,,,,,,,
NA12889,1463,CEU,Utah residents with Northern and Western European ancestry,male,pat grandfather; father,,,,,,,,,
NA12890,1463,CEU,Utah residents with Northern and Western European ancestry,female,pat grandmother; mother,,,,,,,,,
NA18486,Y001,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18488,Y001,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18489,Y002,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18499,Y003,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18501,Y004,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18502,Y004,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18504,Y005,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18505,Y005,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18507,Y009,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18508,Y009,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18510,Y010a,YRI,"Yoruba in Ibadan, Nigeria",male,not father,,NA18509,,,,,,,
NA18511,Y010,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18516,Y013,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18517,Y013,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18519,Y014,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18520,Y014,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18522,Y016,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18523,Y016,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18525,NA18525,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18526,NA18526,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18527,NA18527,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18528,NA18528,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18530,NA18530,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18531,NA18531,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18532,NA18532,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18533,NA18533,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18534,NA18534,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18535,NA18535,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18536,NA18536,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18537,NA18537,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18538,NA18538,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18539,NA18539,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18541,NA18541,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18542,NA18542,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18543,NA18543,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18544,NA18544,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18545,NA18545,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18546,NA18546,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18547,NA18547,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18548,NA18548,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18549,NA18549,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18550,NA18550,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18552,NA18552,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18553,NA18553,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18555,NA18555,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18557,NA18557,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18558,NA18558,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18559,NA18559,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18560,NA18560,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18561,NA18561,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18562,NA18562,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18563,NA18563,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18564,NA18564,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18565,NA18565,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18566,NA18566,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18567,NA18567,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18570,NA18570,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18571,NA18571,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18572,NA18572,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18573,NA18573,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18574,NA18574,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18576,NA18576,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18577,NA18577,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18579,NA18579,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18582,NA18582,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18591,NA18591,CHB,"Han Chinese in Bejing, China",female,unrel,,,,,,,,,
NA18592,NA18592,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18593,NA18593,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18595,NA18595,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18596,NA18596,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18597,NA18597,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18599,NA18599,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18602,NA18602,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18603,NA18603,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18605,NA18605,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18606,NA18606,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18608,NA18608,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18609,NA18609,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18610,NA18610,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18611,NA18611,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18612,NA18612,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18613,NA18613,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18614,NA18614,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18615,NA18615,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18616,NA18616,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18617,NA18617,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18618,NA18618,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18619,NA18619,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18620,NA18620,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18621,NA18621,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18622,NA18622,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18623,NA18623,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18624,NA18624,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18625,NA18625,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18626,NA18626,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18627,NA18627,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18628,NA18628,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18629,NA18629,CHB,"Han Chinese in Bejing, China",male,unrel,,,,,,,,,
NA18630,NA18630,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18631,NA18631,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18632,NA18632,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18633,NA18633,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18634,NA18634,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18635,NA18635,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18636,NA18636,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18637,NA18637,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18638,NA18638,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18639,NA18639,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18640,NA18640,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18641,NA18641,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18642,NA18642,CHB,"Han Chinese in Bejing, China",female,,,,,,,,,,
NA18643,NA18643,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18644,NA18644,CHB,"Han Chinese in Bejing, China",female,unrel,,,,,,,,,
NA18645,NA18645,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18646,NA18646,CHB,"Han Chinese in Bejing, China",female,unrel,,,,,,,,,
NA18647,NA18647,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18648,NA18648,CHB,"Han Chinese in Bejing, China",male,unrel,,,,,,,,,
